text,label
"I feel very sad and alone",1
"I want to give up on life",1
"Nothing makes me happy anymore",1
"I feel hopeless and depressed",1
"I want to die",1
"I hate myself",1
"I feel empty inside",1
"No one cares about me",1
"I am tired of everything",1

"I am feeling great today",0
"I love my life",0
"This project is awesome",0
"I am happy and excited",0
"Life is beautiful",0
"I enjoyed talking with friends",0
"I feel motivated",0
"Everything is going well",0
"Hello everyone",0
"Hi guys",0
"I am new here",0
"First post on this platform",0
"Nice to meet you all",0
"Good morning Twitter",0
"Just joined today",0

"my day did not go well",1
"i am tired of life",1
"nothing feels right anymore",1
"i feel mentally exhausted",1
"life feels heavy",1
"i am drained emotionally",1
"everything feels pointless",1
